"","Food Name","Detail","Price","Category","Restaurant Name","Address","District","calories"
"181","Coca-Cola (33 cl.)","","4,50 TL","Ýçecekler","Bahtiyar Ocakbaþý"," Marmaris ","Armutalan",149
"182","Coca-Cola Þekersiz (33 cl.)","","4,50 TL","Ýçecekler","Bahtiyar Ocakbaþý"," Marmaris ","Armutalan",1
"183","Fanta (33 cl.)","","4,50 TL","Ýçecekler","Bahtiyar Ocakbaþý"," Marmaris ","Armutalan",157
"184","Sprite (33 cl.)","","4,50 TL","Ýçecekler","Bahtiyar Ocakbaþý"," Marmaris ","Armutalan",130
"185","Þalgam Suyu (33 cl.)","","4,00 TL","Ýçecekler","Bahtiyar Ocakbaþý"," Marmaris ","Armutalan",16
"186","Ayran (30 cl.)","","3,50 TL","Ýçecekler","Bahtiyar Ocakbaþý"," Marmaris ","Armutalan",111
"187","Coca-Cola (1 L.)","","7,50 TL","Ýçecekler","Bahtiyar Ocakbaþý"," Marmaris ","Armutalan",450
"331","Coca-Cola (33 cl.)","","4,00 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",149
"332","Fanta (33 cl.)","","4,00 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",157
"333","Sprite (33 cl.)","","4,00 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",130
"334","Lipton Ice Tea (33 cl.)","","4,00 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",99
"335","Þalgam Suyu (33 cl.)","","5,00 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",16
"336","Ayran (30 cl.)","","3,00 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",111
"337","Ayran (20 cl.)","","2,00 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",67
"338","Su","","1,50 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",0
"339","Coca-Cola (1 L.)","","6,00 TL","Ýçecekler","Beþ Kardeþler"," Marmaris ","Merkez",450
"397","Coca-Cola (33 cl.)","","4,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",149
"398","Coca-Cola Light (33 cl.)","","4,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",1
"399","Coca-Cola Þekersiz (33 cl.)","","4,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",1
"400","Fanta (33 cl.)","","4,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",157
"401","Sprite (33 cl.)","","4,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",130
"402","Þalgam Suyu (33 cl.)","","3,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",16
"403","Ayran (30 cl.)","","3,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",111
"404","Ayran (20 cl.)","","2,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",67
"405","Soda (20 cl.)","","2,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",1
"406","Su (50 cl.)","","2,00 TL","Ýçecekler","Big Chef"," Marmaris ","Merkez",0
"550","Coca-Cola (33 cl.)","","6,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",149
"551","Coca-Cola Light (33 cl.)","","6,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",1
"552","Coca-Cola Þekersiz (33 cl.)","","6,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",1
"553","Fanta (33 cl.)","","6,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",157
"554","Sprite (33 cl.)","","6,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",130
"555","Fuse Tea (33 cl.)","","6,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",96
"556","Þalgam Suyu (33 cl.)","","5,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",16
"557","Ayran (20 cl.)","","2,50 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",67
"558","Limonlu Soda","","3,50 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",75
"559","Soda","","4,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",0
"560","Su","","2,50 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",0
"561","Coca-Cola (1 L.)","","1,50 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",450
"562","Coca-Cola Light (1 L.)","","8,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",1
"563","Coca-Cola Þekersiz (1 L.)","","8,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",1
"564","Fanta (1 L.)","","8,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",475
"565","Sprite (1 L.)","","8,00 TL","Ýçecekler","Ciðerci Müslüm"," Marmaris ","Merkez",395
